Filename,Keyword,Context,Author,Title,Date
11.txt,facts,"You have twice or thrice observed in your Discourse, that Hypocrisy is the very Foundation of our Education; and that an Ability to dissemble our affections, is a professed Part of our Breeding. These, and such other Reflections, are sprinkled up and down the Writings of all Ages, by Authors, who leave behind them Memorials of their Resentment against the Scorn of particular Women, in Invectives against the whole Sex. Such a Writer, I doubt not, was the celebrated Petronius, who invented the pleasant Aggravations of the Frailty of the Ephesian Lady; but when we consider this Question between the Sexes, which has been either a Point of Dispute or Raillery ever since there were Men and Women, let us take Facts from plain People, and from such as have not either Ambition or Capacity to embellish their Narrations with any Beauties of Imagination. I was the other Day amusing myself with Ligon's Account of Barbadoes; and, in Answer to your well-wrought Tale, I will give you (as it dwells upon my Memory) out of that honest Traveller, in his fifty fifth page, the History of Inkle and Yarico2. Mr. Thomas Inkle of London, aged twenty Years, embarked in the Downs, on the good Ship called the Achilles, bound for the West Indies, on the 16th of June 1647, in order to improve his Fortune by Trade and Merchandize.",Steele,No. 11,1711-03-13
28.txt,fact,"A Cook should not live at the Boot, nor a Shoemaker at the roasted Pig; and yet, for want of this Regulation, I have seen a Goat set up before the Door of a Perfumer, and the French King's Head at a Sword-Cutler's. An ingenious Foreigner observes, that several of those Gentlemen who value themselves upon their Families, and overlook such as are bred to Trade, bear the Tools of their Fore-fathers in their Coats of Arms. I will not examine how true this is in Fact: But though it may not be necessary for Posterity thus to set up the Sign of their Fore-fathers; I think it highly proper for those who actually profess the Trade, to shew some such Marks of it before their Doors. When the Name gives an Occasion for an ingenious Sign-post, I would likewise advise the Owner to take that Opportunity of letting the World know who he is.",Addison,No. 28,1711-04-02
43.txt,facts,"But you must do me then the Justice to own, that nothing can be more useful or laudable than the Scheme we go upon. To avoid Nicknames and Witticisms, we call ourselves The Hebdomadal Meeting: Our President continues for a Year at least, and sometimes four or five: We are all Grave, Serious, Designing Men, in our Way: We think it our Duty, as far as in us lies, to take care the Constitution receives no Harm, — Ne quid detrimenti Res capiat publica — To censure Doctrines or Facts, Persons or Things, which we don't like; To settle the Nation at home, and to carry on the War abroad, where and in what manner we see fit: If other People are not of our Opinion, we can't help that. 'Twere better they were. Moreover, we now and then condescend to direct, in some measure, the little Affairs of our own University.",Steele,No. 43,1711-04-19
44.txt,fact,"However, to avoid publick Blood-shed, as soon as his Passion is wrought to its Height, he follows his Sister the whole length of the Stage, and forbears killing her till they are both withdrawn behind the Scenes. I must confess, had he murder'd her before the Audience, the Indecency might have been greater; but as it is, it appears very unnatural, and looks like killing in cold Blood. To give my Opinion upon this Case; the Fact ought not to have been represented, but to have been told, if there was any Occasion for it. It may not be unacceptable to the Reader, to see how Sophocles has conducted a Tragedy under the like delicate Circumstances. Orestes was in the same Condition with Hamlet in Shakespear, his Mother having murdered his Father, and taken possession of his Kingdom in Conspiracy with her Adulterer.",Addison,No. 44,1711-04-20
50.txt,fictions,"Our other Interpreter used to talk very much of a kind of Animal called a Tory, that was as great a Monster as the Whig, and would treat us as ill for being Foreigners. These two Creatures, it seems, are born with a secret Antipathy to one another, and engage when they meet as naturally as the Elephant and the Rhinoceros. But as we saw none of either of these Species, we are apt to think that our Guides deceived us with Misrepresentations and Fictions, and amused us with an Account of such Monsters as are not really in their Country. These Particulars we made a shift to pick out from the Discourse of our Interpreters; which we put together as well as we could, being able to understand but here and there a Word of what they said, and afterwards making up the Meaning of it among ourselves. The Men of the Country are very cunning and ingenious in handicraft Works; but withal so very idle, that we often saw young lusty raw-boned Fellows carried up and down the Streets in little covered Rooms by a Couple of Porters, who are hired for that Service.",Addison,No. 50,unclear
62.txt,fiction,"I look upon these writers as Goths in Poetry, who, like those in Architecture, not being able to come up to the beautiful Simplicity of the old Greeks and Romans, have endeavoured to supply its place with all the Extravagancies of an irregular Fancy. Mr. Dryden makes a very handsome Observation, on Ovid's writing a Letter from Dido to Æneas, in the following Words6. 'Ovid' says he, (speaking of Virgil's Fiction of Dido and Æneas) 'takes it up after him, even in the same Age, and makes an Ancient Heroine of Virgil's new-created Dido; dictates a Letter for her just before her Death to the ungrateful Fugitive; and, very unluckily for himself, is for measuring a Sword with a Man so much superior in Force to him on the same Subject. I think I may be Judge of this, because I have translated both.",Addison,No. 62,1711-05-11
85.txt,fiction,"But though the Language is mean, the Thoughts , as I have before said, from one end to the other are natural2, and therefore cannot fail to please those who are not Judges of Language, or those who, notwithstanding they are Judges of Language, have a true3 and unprejudiced Taste of Nature. The Condition, Speech, and Behaviour of the dying Parents, with the Age, Innocence, and Distress of the Children, are set forth in such tender Circumstances, that it is impossible for a Reader of common Humanity4 not to be affected with them. As for the Circumstance of the Robin-red-breast, it is indeed a little Poetical Ornament; and to shew the Genius of the Author5 amidst all his Simplicity, it is just the same kind of Fiction which one of the greatest of the Latin Poets has made use of upon a parallel Occasion; I mean that Passage in Horace, where he describes himself when he was a Child, fallen asleep in a desart Wood, and covered with Leaves by the Turtles that took pity on him. Me fabulosa Vulture in Apulo,
    Altricis extra limen Apuliæ,
    Ludo fatigatumque somno
    Fronde novâ puerum palumbes
    Texere ... I have heard that the late Lord Dorset, who had the greatest Wit temper'd with the greatest Candour,6 and was one of the finest Criticks as well as the best Poets of his Age, had a numerous collection of old English Ballads, and took a particular Pleasure in the Reading of them.",Addison,No. 85,1711-06-07
110.txt,fact,"The Knight seeing his Habitation reduced to3 so small a Compass, and himself in a manner shut out of his own House, upon the Death of his Mother ordered all the Apartments4 to be flung open, and exorcised by his Chaplain, who lay in every Room one after another, and by that Means dissipated the Fears which had so long reigned in the Family. I should not have been thus particular upon these ridiculous Horrours, did I not find them so very much prevail in all Parts of the Country. At the same time I think a Person who is thus terrify'd with the Imagination of Ghosts and Spectres much more reasonable than one who, contrary to the Reports of all Historians sacred and prophane, ancient and modern, and to the Traditions of all Nations, thinks the Appearance of Spirits fabulous and groundless: Could not I give myself up to this general Testimony of Mankind, I should to the Relations of particular Persons who are now living, and whom I cannot distrust in other Matters of Fact. I might here add, that not only the Historians, to whom we may join the Poets, but likewise the Philosophers of Antiquity have favoured this Opinion. Lucretius himself, though by the Course of his Philosophy he was obliged to maintain that the Soul did not exist separate from the Body, makes no Doubt of the Reality of Apparitions, and that Men have often appeared after their Death.",Addison,No. 110,1711-07-06
110.txt,fact,"I might here add, that not only the Historians, to whom we may join the Poets, but likewise the Philosophers of Antiquity have favoured this Opinion. Lucretius himself, though by the Course of his Philosophy he was obliged to maintain that the Soul did not exist separate from the Body, makes no Doubt of the Reality of Apparitions, and that Men have often appeared after their Death. This I think very remarkable; he was so pressed with the Matter of Fact which he could not have the Confidence to deny, that he was forced to account for it by one of the most absurd unphilosophical Notions that was ever started. He tells us, That the Surfaces of all Bodies are perpetually flying off from their respective Bodies, one after another; and that these Surfaces or thin Cases that included each other whilst they were joined in the Body like the Coats of an Onion, are sometimes seen entire when they are separated from it; by which means we often behold the Shapes and Shadows of Persons who are either dead or absent5. I shall dismiss this Paper with a Story out of Josephus, not so much for the sake of the Story it self as for the moral Reflections with which the Author concludes it, and which I shall here set down in his own Words.",Addison,No. 110,1711-07-06
110.txt,facts,"However, for the sake of our passed Loves, I shall free thee from thy present Reproach, and make thee mine for ever. Glaphyra told this Dream to several Women of her Acquaintance, and died soon after.6 I thought this Story might not be impertinent in this Place, wherein I speak of those Kings: Besides that, the Example deserves to be taken notice of as it contains a most certain Proof of the Immortality of the Soul, and of Divine Providence. If any Man thinks these Facts incredible, let him enjoy his own Opinion to himself, but let him not endeavour to disturb the Belief of others, who by Instances of this Nature are excited to the Study of Virtue.' L.",Addison,No. 110,1711-07-06
146.txt,fiction,"Tull.translation 



We know the highest Pleasure our Minds are capable of enjoying with Composure, when we read Sublime Thoughts communicated to us by Men of great Genius and Eloquence. Such is the Entertainment we meet with in the Philosophick Parts of Cicero's Writings. Truth and good Sense have there so charming a Dress, that they could hardly be more agreeably represented with the Addition of Poetical Fiction and the Power of Numbers. This ancient Author, and a modern one, had fallen into my Hands within these few Days; and the Impressions they have left upon me, have at the present quite spoiled me for a merry Fellow. The Modern is that admirable Writer the Author of The Theory of the Earth.",Steele,No. 146,1711-08-17
163.txt,fictitious,"The Truth of it is, if all the Happiness that is dispersed through the whole Race of Mankind in this World were drawn together, and put into the Possession of any single Man, it would not make a very happy Being. Though on the contrary, if the Miseries of the whole Species were fixed in a single Person, they would make a very miserable one. I am engaged in this Subject by the following Letter, which, though subscribed by a fictitious Name, I have reason to believe is not Imaginary. Mr. Spectator2, 'I am one of your Disciples, and endeavour to live up to your Rules, which I hope will incline you to pity my Condition: I shall open it to you in a very few Words. About three Years since a Gentleman, whom, I am sure, you yourself would have approved, made his Addresses to me.",Addison,No. 163,1711-09-06
175.txt,fact,"But, submitting these Matters to your more serious Consideration,

    I am, Sir,
    Yours, &c.'


I have, indeed, seen and heard of several young Gentlemen under the same Misfortune with my present Correspondent. The best Rule I can lay down for them to avoid the like Calamities for the future, is thoroughly to consider not only Whether their Companions are weak, but Whether themselves are Wits. The following Letter comes to me from Exeter, and being credibly informed that what it contains is Matter of Fact, I shall give it my Reader as it was sent me. Mr. Spectator,

    Exeter, Sept. 7.

    'You were pleased in a late Speculation to take notice of the Inconvenience we lie under in the Country, in not being able to keep Pace with the Fashion: But there is another Misfortune which we are subject to, and is no less grievous than the former, which has hitherto escaped your Observation.",Budgell,No. 175,1711-09-20
181.txt,fact,"He then called together the most faithful of his Counsellors, and acquainting them with his Secretary's Crime, asked them their Advice in so delicate an Affair. They most of them gave their Opinion, that the Person could not be too severely punished who had thus dishonoured his Master. Upon the whole Debate, the Emperor declared it was his Opinion, that Eginhart's Punishment would rather encrease than diminish the Shame of his Family, and that therefore he thought it the most adviseable to wear out the Memory of the Fact, by marrying him to his Daughter. Accordingly Eginhart was called in, and acquainted by the Emperor, that he should no longer have any Pretence of complaining his Services were not rewarded, for that the Princess Imma should be given him7 in Marriage, with a Dower suitable to her Quality; which was soon after performed accordingly. L.",Addison,No. 181,1711-09-27
182.txt,fact,"and the Constable with his Attendants seized my expecting Lover. I kept my self unobserved till I saw the Crowd sufficiently encreased, and then appeared to declare the Goods to be mine; and had the Satisfaction to see my Man of Mode put into the Round-House, with the stolen Wares by him, to be produced in Evidence against him the next Morning. This Matter is notoriously known to be Fact; and I have been contented to save my Prentice, and take a Year's Rent of this mortified Lover, not to appear further in the Matter. This was some Penance; but, Sir, is this enough for a Villany of much more pernicious Consequence than the Trifles for which he was to have been indicted? Should not you, and all Men of any Parts or Honour, put things upon so right a Foot, as that such a Rascal should not laugh at the Imputation of what he was really guilty, and dread being accused of that for which he was arrested?",Steele,No. 182,1711-09-28
184.txt,fact,"My Correspondents take the Hint I give them, and pursue it into Speculations which I never thought of at my first starting it. This has been the Fate of my Paper on the Match of Grinning, which has already produced a second Paper on parallel Subjects, and brought me the following Letter by the last Post. I shall not premise any thing to it further than that it is built on Matter of Fact, and is as follows. Sir,

    'You have already obliged the World with a Discourse upon Grinning, and have since proceeded to Whistling, from whence you at length came1 to Yawning; from this, I think, you may make a very natural Transition to Sleeping. I therefore recommend to you for the Subject of a Paper the following Advertisement, which about two Months ago was given into every Body's Hands, and may be seen with some Additions in the Daily Courant of August the Ninth.",Addison,No. 184,1711-10-01
184.txt,fact,"I therefore recommend to you for the Subject of a Paper the following Advertisement, which about two Months ago was given into every Body's Hands, and may be seen with some Additions in the Daily Courant of August the Ninth. 'Nicholas Hart2, who slept last Year in St. Bartholomew's Hospital, intends to sleep this Year at the Cock and Bottle in Little-Britain.' Having since inquired into the Matter of Fact, I find that the above-mentioned Nicholas Hart is every Year seized with a periodical Fit of Sleeping, which begins upon the Fifth of August, and ends on the Eleventh of the same Month: That

        On the First of that Month he grew dull;
        On the Second, appeared drowsy; On the Third, fell a yawning;
        On the Fourth, began to nod;
        On the Fifth, dropped asleep;
        On the Sixth, was heard to snore;
        On the Seventh, turned himself in his Bed; On the Eighth, recovered his former Posture;
        On the Ninth fell a stretching;",Addison,No. 184,1711-10-01
193.txt,fact,"The Levée of a great Man is laid after the same manner, and twenty Whispers, false Alarms, and private Intimations, pass backward and forward from the Porter, the Valet, and the Patron himself, before the gaping Crew who are to pay their Court are gathered together: When the Scene is ready, the Doors fly open and discover his Lordship. There are several Ways of making this first Appearance: you may be either half dressed, and washing your self, which is indeed the most stately; but this Way of Opening is peculiar to Military Men, in whom there is something graceful in exposing themselves naked; but the Politicians, or Civil Officers, have usually affected to be more reserved, and preserve a certain Chastity of Deportment. Whether it be Hieroglyphical or not, this Difference in the Military and Civil List, I will not say; but have3 ever understood the Fact to be, that the close Minister is buttoned up, and the brave Officer open-breasted on these Occasions. However that is, I humbly conceive the Business of a Levée is to receive the Acknowledgments of a Multitude, that a Man is Wise, Bounteous4, Valiant and Powerful. When the first Shot of Eyes is5 made, it is wonderful to observe how much Submission the Patron's Modesty can bear, and how much Servitude the Client's Spirit can descend to.",Steele,No. 193,1711-10-11
205.txt,fact,"By this Means, as I am informed, it is usual enough to meet with a German Count in foreign Countries, that shall make his Boasts of Favours he has received from Women of the highest Ranks, and the most unblemished Characters. Now, Sir, what Safety is there for a Woman's Reputation, when a Lady may be thus prostituted as it were by Proxy, and be reputed an unchaste Woman; as the Hero in the ninth Book of Dryden's Virgil is looked upon as a Coward, because the Phantom which appeared in his Likeness ran away from Turnus? You may depend upon what I relate to you to be Matter of Fact, and the Practice of more than one of these female Pandars. If you print this Letter, I may give you some further Accounts of this vicious Race of Women. Your humble Servant,
    Belvidera.",Addison,No. 205,1711-10-25
208.txt,fact,"I assure you without Flattery it has saved a Prentice of mine from Ruin; and in Token of Gratitude as well as for the Benefit of my Family, I have put it in a Frame and Glass, and hung it behind my Counter. I shall take Care to make my young ones read it every Morning, to fortify them against such pernicious Rascals. I know not whether what you writ was Matter of Fact, or your own Invention; but this I will take my Oath on, the first Part is so exactly like what happened to my Prentice, that had I read your Paper then, I should have taken your Method to have secured a Villain. Go on and prosper. Your most obliged Humble Servant,



    Mr. Spectator,

    'Without Raillery, I desire you to insert this Word for Word in your next, as you value a Lover's Prayers.",Addison,No. 208,1711-10-01
222.txt,fact,"For my part, I think there is no Reflection more astonishing, than to consider one of these Gentlemen spending a fair Fortune, running in every Body's Debt without the least Apprehension of a future Reckoning, and at last leaving not only his own Children, but possibly those of other People, by his Means, in starving Circumstances; while a Fellow, whom one would scarce suspect to have a humane Soul, shall perhaps raise a vast Estate out of Nothing, and be the Founder of a Family capable of being very considerable in their Country, and doing many illustrious Services to it. That this Observation is just, Experience has put beyond all Dispute. But though the Fact be so evident and glaring, yet the Causes of it are still in the Dark; which makes me persuade my self, that it would be no unacceptable Piece of Entertainment to the Town, to inquire into the hidden Sources of so unaccountable an Evil. I am,
    Sir,
    Your most Humble Servant. What this Correspondent wonders at, has been Matter of Admiration ever since there was any such thing as humane Life.",Steele,No. 222,1711-11-14
234.txt,facts,"Hor.1translation



You very often hear People, after a Story has been told with some entertaining Circumstances, tell it over again with Particulars that destroy the Jest, but give Light into the Truth of the Narration. This sort of Veracity, though it is impertinent, has something amiable in it, because it proceeds from the Love of Truth, even in frivolous Occasions. If such honest Amendments do not promise an agreeable Companion, they do a sincere Friend; for which Reason one should allow them so much of our Time, if we fall into their Company, as to set us right in Matters that can do us no manner of Harm, whether the Facts be one Way or the other. Lies which are told out of Arrogance and Ostentation a Man should detect in his own Defence, because he should not be triumphed over; Lies which are told out of Malice he should expose, both for his own sake and that of the rest of Mankind, because every Man should rise against a common Enemy: But the officious Liar many have argued is to be excused, because it does some Man good, and no Man hurt. The Man who made more than ordinary speed from a Fight in which the Athenians were beaten, and told them they had obtained a complete Victory, and put the whole City into the utmost Joy and Exultation, was check'd by the Magistrates for his Falshood; but excused himself by saying, O Athenians!",Steele,No. 234,1711-11-28
235.txt,fact,"His Zeal for a good Author is indeed outrageous, and breaks down every Fence and Partition, every Board and Plank, that stands within the Expression of his Applause. As I do not care for terminating my Thoughts in barren Speculations, or in Reports of pure Matter of Fact, without drawing something from them for the Advantage of my Countrymen, I shall take the Liberty to make an humble Proposal, that whenever the Trunk-maker shall depart this Life, or whenever he shall have lost the Spring of his Arm by Sickness, old Age, Infirmity, or the like, some able-bodied Critick should be advanced to this Post, and have a competent Salary settled on him for Life, to be furnished with Bamboos for Operas, Crabtree-Cudgels for Comedies, and Oaken Plants for Tragedy, at the publick Expence. And to the End that this Place should be always disposed of according to Merit, I would have none preferred to it, who has not given convincing Proofs both of a sound Judgment and a strong Arm, and who could not, upon Occasion, either knock down an Ox, or write a Comment upon Horace's Art of Poetry. In short, I would have him a due Composition of Hercules and Apollo, and so rightly qualified for this important Office, that the Trunk-maker may not be missed by our Posterity.",Addison,No. 235,1711-11-29
242.txt,fact,"The poor Woman upon this Faints away in a Fit, recovers, and is now run distracted. As she had no Design to defraud her Husband, but was willing only to participate in his good Fortune, every one pities her, but thinks her Husband's Punishment but just. This, Sir, is Matter of Fact, and would, if the Persons and Circumstances were greater, in a well-wrought Play be called Beautiful Distress. I have only sketched it out with Chalk, and know a good Hand can make a moving Picture with worse Materials. Sir, &c.



    Mr. Spectator,

    I am what the World calls a warm Fellow, and by good Success in Trade I have raised myself to a Capacity of making some Figure in the World; but no matter for that.",Steele,No. 242,1711-12-07
273.txt,fictitious,"We see Man and Woman in the highest Innocence and Perfection, and in the most abject State of Guilt and Infirmity. The two last Characters are, indeed, very common and obvious, but the two first are not only more magnificent, but more new5 than any Characters either in Virgil or Homer, or indeed in the whole Circle of Nature. Milton was so sensible of this Defect in the Subject of his Poem, and of the few Characters it would afford him, that he has brought into it two Actors of a Shadowy and Fictitious Nature, in the Persons of Sin and Death6, by which means he has wrought into7 the Body of his Fable a very beautiful and well-invented Allegory. But notwithstanding the Fineness of this Allegory may attone for it in some measure; I cannot think that Persons of such a Chymerical Existence are proper Actors in an Epic Poem; because there is not that measure of Probability annexed to them, which is requisite in Writings of this kind, as I shall shew more at large hereafter. Virgil has, indeed, admitted Fame as an Actress in the Æneid, but the Part she acts is very short, and none of the most admired Circumstances in that Divine Work.",Addison,No. 273,1712-01-12
275.txt,fictions,"The several other Cells were stored with Commodities of the same kind, of which it would be tedious to give the Reader an exact Inventory. There was a large Cavity on each side of the Head, which I must not omit. That on the right Side was filled with Fictions, Flatteries, and Falshoods, Vows, Promises, and Protestations; that on the left with Oaths and Imprecations. There issued out a Duct from each of these Cells, which ran into the Root of the Tongue, where both joined together, and passed forward in one common Duct to the Tip of it. We discovered several little Roads or Canals running from the Ear into the Brain, and took particular care to trace them out through their several Passages.",Addison,No. 275,1712-01-15
287.txt,fact,"But this is not all; an honest private Man often grows cruel and abandoned, when converted into an absolute Prince. Give a Man Power of doing what he pleases with Impunity, you extinguish his Fear, and consequently overturn in him one of the great Pillars of Morality. This too we find confirmed by Matter of Fact. How many hopeful Heirs apparent to grand Empires, when in the Possession of them, have become such Monsters of Lust and Cruelty as are a Reproach to Human Nature. Some tell us we ought to make our Governments on Earth like that in Heaven, which, say they, is altogether Monarchical and Unlimited.",Addison,No. 287,1712-01-29
297.txt,fact,"First, as there are several of them too much pointed, and some that degenerate even into Punns. Of this last kind I am afraid is that in the First Book, where speaking of the Pigmies, he calls them,

    —The small Infantry
    Warrdon by Cranes—

Another Blemish that13 appears in some of his Thoughts, is his frequent Allusion to Heathen Fables, which are not certainly of a Piece with the Divine Subject, of which he treats. I do not find fault with these Allusions, where the Poet himself represents them as fabulous, as he does in some Places, but where he mentions them as Truths and Matters of Fact. The Limits of my Paper will not give me leave to be particular in Instances of this kind; the Reader will easily remark them in his Perusal of the Poem. A third fault in his Sentiments, is an unnecessary Ostentation of Learning, which likewise occurs very frequently.",Addison,No. 297,1712-02-09
311.txt,fact,"She is now in the Eighteenth Year of her Age. The Fortune-hunters have already cast their Eyes upon her, and take care to plant themselves in her View whenever she appears in any Publick Assembly. I have my self caught a young Jackanapes with a pair of Silver Fringed Gloves, in the very Fact. You must know, Sir, I have kept her as a Prisoner of State ever since she was in her Teens. Her Chamber Windows are cross-barred, she is not permitted to go out of the House but with her Keeper, who is a stay'd Relation of my own; I have likewise forbid her the use of Pen and Ink for this Twelve-Month last past, and do not suffer a Ban-box to be carried into her Room before it has been searched.",Addison,No. 311,1712-02-26
315.txt,fiction,"This Circumstance seems to have the Marvellous without the Probable, because it is represented as proceeding from Natural Causes, without the Interposition of any God, or other Supernatural Power capable of producing it. The Spears and Arrows grow of themselves, without so much as the Modern Help of an Enchantment. If we look into the Fiction of Milton's Fable, though we find it full of surprizing Incidents, they are generally suited to our Notions of the Things and Persons described, and tempered with a due Measure of Probability. I must only make an Exception to the Limbo of Vanity, with his Episode of Sin and Death, and some of the imaginary Persons in his Chaos. These Passages are astonishing, but not credible; the Reader cannot so far impose upon himself as to see a Possibility in them; they are the Description of Dreams and Shadows, not of Things or Persons.",Addison,No. 315,1712-03-01
341.txt,fictitious,"The only Reason your mournful Correspondent gives against this Facetious Epilogue, as he calls it, is, that he has mind to go home melancholy. I wish the Gentleman may not be more Grave than Wise. For my own part, I must confess I think it very sufficient to have the Anguish of a fictitious Piece remain upon me while it is representing, but I love to be sent home to bed in a good humour. If Physibulus is however resolv'd to be inconsolable, and not to have his Tears dried up, he need only continue his old Custom, and when he has had his half Crown's worth of Sorrow, slink out before the Epilogue begins. It is pleasant enough to hear this Tragical Genius complaining of the great Mischief Andromache had done him: What was that?",Budgell,No. 341,1712-04-01
351.txt,fact,"Whoever looks into the Abridgment above mentioned, will find that the Character of Æneas is filled with Piety to the Gods, and a superstitious Observation of Prodigies, Oracles, and Predictions. Virgil has not only preserved this Character in the Person of Æneas, but has given a place in his Poem to those particular Prophecies which he found recorded of him in History and Tradition. The Poet took the matters of Fact as they came down to him, and circumstanced them after his own manner, to make them appear the more natural, agreeable, or surprizing. I believe very many Readers have been shocked at that ludicrous Prophecy, which one of the Harpyes pronounces to the Trojans in the third Book, namely, that before they had built their intended City, they should be reduced by Hunger to eat their very Tables. But, when they hear that this was one of the Circumstances that had been transmitted to the Romans in the History of Æneas, they will think the Poet did very well in taking notice of it.",Addison,No. 351,1712-04-12
351.txt,fiction,"Virg.translation



If we look into the three great Heroick Poems which have appeared in the World, we may observe that they are built upon very slight Foundations. Homer lived near 300 Years after the Trojan War; and, as the writing of History was not then in use among the Greeks, we may very well suppose, that the Tradition of Achilles and Ulysses had brought down but very few particulars to his Knowledge; though there is no question but he has wrought into his two Poems such of their remarkable Adventures, as were still talked of among his Contemporaries. The Story of Æneas, on which Virgil founded his Poem, was likewise very bare of Circumstances, and by that means afforded him an Opportunity of embellishing it with Fiction, and giving a full range to his own Invention. We find, however, that he has interwoven, in the course of his Fable, the principal Particulars, which were generally believed among the Romans, of Æneas his Voyage and Settlement in Italy. The Reader may find an Abridgment of the whole Story as collected out of the ancient Historians, and as it was received among the Romans, in Dionysius Halicarnasseus1.",Addison,No. 351,1712-04-12
